2021-04-26 07:30:57,,2021-04-26 07:30:00,2021-04-26 08:00:00,1,사고 ,천호대로 상일IC  생태공원앞 4차로 화물차 관련. 후미 지체 교통사고 서울청,127.154142206915,37.5390288531384
2021-04-26 07:31:00,1277,2021-04-26 07:28:02,2021-04-26 18:00:00,0,공사 ,일반국도39호선 대장동입구교차로 철도육교 1차로 주의운전 시설물보수 -,126.814582805556,37.6274299444444
2021-04-26 07:31:30,1306,2021-04-26 07:26:02,2021-04-26 18:00:00,0,공사 ,일반국도44호선 연봉지구 교차로 개선공사  검율교차로  연봉교차로  진행방향 전체차로 차량 서행 운행 도로공사 반대 차선 확인 요망,127.887863,37.6868412
2021-04-26 07:31:58,,2021-04-26 07:31:00,2021-04-26 18:00:00,0,공사 ,아리랑길 읍내네거리 원촌교 네거리 1차로 애경 3타 읍내 네거리 방향에서 원촌교 방향 하수관거 공사중 하수관거 작업 -,127.4169252,36.3752318
2021-04-26 07:32:00,,2021-04-26 07:31:00,2021-04-26 18:00:00,0,공사 ,서문로 하늘꿈교회 문화동28421 1차로 주의운전 하수관거 작업 -,127.407976402035,36.3148156322378
2021-04-26 07:32:00,1313,2021-04-26 07:26:02,2021-04-26 18:00:00,0,공사 ,호국로 토당동8257 대장동입구교차로 1차로 주의운전 도로공사 -,126.820144638889,37.6286811666667
2021-04-26 07:32:30,1330,2021-04-26 07:25:02,2021-04-26 07:55:00,1,사고 ,일반국도43호선 골말입구삼거리 여성회관입구교차로 1차로 안전운전, 교차로내 교통사고로 인해 후방 100미터 지체 교통사고 -,127.210732251524,37.9040578427146
2021-04-26 07:33:48,,2021-04-26 07:33:00,2021-04-26 18:00:00,0,공사 ,능행7로 안양농협남부지점 동인베스트빌 1차로 주의운전 도로공사 -,126.929207919444,37.3908863333333
2021-04-26 07:34:55,,2021-04-26 07:31:30,2021-04-26 10:36:49,0,공사 ,중앙선(0550) (2차로)노면보수작업중 [고속도로]중앙선(0550) (2차로)노면보수작업중,127.7823,37.8272
2021-04-26 07:35:30,1347,2021-04-26 07:30:02,2021-04-26 08:00:00,1,사고 ,천호대로 상일IC  생태공원앞 4차로 화물차 관련. 후미 지체 교통사고 서울청,127.154142206915,37.5390288531384
2021-04-26 07:36:00,1352,2021-04-26 07:29:02,2021-04-26 18:00:00,0,공사 ,경부고속도로 서부교차로 배시내 1차로 주의운전 도로공사 -,128.1802429,36.154989
2021-04-26 07:36:12,,2021-04-26 07:36:00,2021-04-26 08:06:00,2,통제 ,다산중앙로82번안길 보아주택앞 도농교회앞 1차로 주의운전 공사 -,127.1670473,37.6138557
2021-04-26 07:36:30,1379,2021-04-26 07:30:02,2021-04-26 18:00:00,0,공사 ,을숙도대로 복합화력발전소 GS25부산감천항점 1차로 주의운전 도로공사 -,128.998055899722,35.0881497997222
2021-04-26 07:37:00,,2021-04-26 07:36:00,2021-04-26 08:06:00,1,사고 ,일반국도43호선 요꼴사거리 신포천APT삼거리 1차로 안전운전, 교차로내 교통사고로 인해 후방 100미터 지체 교통사고 -,127.231911112448,37.9413225798306
2021-04-26 07:37:00,1391,2021-04-26 07:29:02,2021-04-26 07:59:00,1,사고 ,일반국도7호선 덕곡교차로 화수교차로 1차로 주의운전 교통사고 -,129.3796215,36.4254294
2021-04-26 07:37:34,,2021-04-26 07:37:00,2021-04-26 12:00:00,0,공사 ,일반국도2호선 봉덕마을 금당리산1184 1차로 가로수식재작업중 도로공사 -,126.7267852,34.6617913
2021-04-26 07:38:11,,2021-04-26 07:38:00,2021-04-26 18:00:00,0,공사 ,일반국도26호선 전주천교 전주천교 1차로 주의운전 도로공사 -,127.103337699722,35.869497
2021-04-26 07:38:26,,2021-04-26 07:37:00,2021-04-26 08:07:00,1,사고 ,동부간선도로 청담대교북단 남단 2차로 승용차-승용차. 후미 지체 교통사고 서울청,127.062907825339,37.5222729835704
2021-04-26 07:39:23,,2021-04-26 07:39:00,2021-04-26 18:00:00,0,공사 ,국가지원지방도57호선 안양판교로26 동안구관양동1866 1차로 주의운전 도로공사 -,126.9766895,37.3996386
2021-04-26 07:40:31,1423,2021-04-26 07:37:02,2021-04-26 08:07:00,1,사고 ,동부간선도로 청담대교북단 남단 2차로 승용차-승용차. 후미 지체 교통사고 서울청,127.062907825339,37.5222729835704
2021-04-26 07:40:34,,2021-04-26 07:40:00,2021-04-26 08:10:00,1,사고 ,일반국도48호선 사직삼거리 사직주유소 1차로 주의운전 교통사고 -,126.967572799722,37.5747298
2021-04-26 07:41:01,1427,2021-04-26 07:38:02,2021-04-26 18:00:00,0,공사 ,일반국도26호선 전주천교 전주천교 1차로 주의운전 도로공사 -,127.103337699722,35.869497
2021-04-26 07:41:31,1452,2021-04-26 07:37:02,2021-04-26 12:00:00,0,공사 ,일반국도2호선 봉덕마을 금당리산1184 1차로 가로수식재작업중 도로공사 -,126.7267852,34.6617913
2021-04-26 07:42:01,1460,2021-04-26 07:36:02,2021-04-26 08:06:00,1,사고 ,일반국도43호선 요꼴사거리 신포천APT삼거리 1차로 안전운전, 교차로내 교통사고로 인해 후방 100미터 지체 교통사고 -,127.231911112448,37.9413225798306
2021-04-26 07:42:31,1479,2021-04-26 07:36:02,2021-04-26 08:06:00,2,통제 ,다산중앙로82번안길 보아주택앞 도농교회앞 1차로 주의운전 공사 -,127.1670473,37.6138557
2021-04-26 07:43:31,,2021-04-26 07:43:00,2021-04-26 18:00:00,0,공사 ,일반국도6호선 도곡교 팔당산기도원 1차로 주의운전 시설물보수 -,127.3771011,37.5181197
2021-04-26 07:43:31,1487,2021-04-26 07:33:02,2021-04-26 18:00:00,0,공사 ,능행7로 안양농협남부지점 동인베스트빌 1차로 주의운전 도로공사 -,126.929207919444,37.3908863333333
2021-04-26 07:44:06,,2021-04-26 07:43:00,2021-04-26 18:00:00,1,사고 ,사직로 대한출판문화협회 경복궁 1차로 주의운전 교통사고 -,126.9787878,37.5763908
2021-04-26 07:44:15,,2021-04-26 07:44:00,2021-04-26 18:00:00,0,공사 ,한밭대로 정부청사역 정부청사역3번출구 1차로 주의운전 도로공사 -,127.3816686,36.3582169
2021-04-26 07:44:55,,2021-04-26 07:44:00,2021-04-26 18:00:00,0,공사 ,비행장길 수퍼통닭휴게실 전미동2가전미로107 1차로 주의운전 도로공사 -,127.1123754,35.877786
2021-04-26 07:45:31,1504,2021-04-26 07:43:02,2021-04-26 18:00:00,1,사고 ,사직로 대한출판문화협회 경복궁 1차로 주의운전 교통사고 -,126.9787878,37.5763908
2021-04-26 07:45:32,,2021-04-26 07:45:00,2021-04-26 18:00:00,1,사고 ,종로1길 경복궁사거리 정부합동민원실 1차로 주의운전 교통사고 -,126.9789533,37.5754363
2021-04-26 07:45:42,,2021-04-26 07:44:00,2021-04-26 18:14:00,2,통제 ,대전로 읍내삼거리 회덕파출소  3차로 하수관로 매설공사로 후미 지,정체 공사 -,127.423849380556,36.3803129138889
2021-04-26 07:46:01,1508,2021-04-26 07:43:02,2021-04-26 18:00:00,0,공사 ,일반국도6호선 도곡교 팔당산기도원 1차로 주의운전 시설물보수 -,127.3771011,37.5181197
2021-04-26 07:46:12,,2021-04-26 07:46:00,2021-04-26 08:16:00,1,사고 ,서울양양고속도로 미사IC서측 미사IC동측 3차로 0km(미사IC방향) 주의운전 차량고장 -,127.186474223088,37.58036881943
